               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10171,            0.012816,            0.037109,            0.050165,             0.20959,            0.056833,            0.013025,            0.056659,           0.0059504,            0.024264,           0.0033279,           0.0033279,            0.070049
                   1,            0.066706,            0.012077,            0.028313,              0.6512,             0.42055,             0.42933,             0.15996,             0.04047,           0.0049935,            0.018453,           0.0065953,           0.0065953,            0.039983
                   2,            0.057919,            0.010245,              0.0221,              0.5511,             0.72231,             0.73354,             0.26225,            0.047004,           0.0036797,            0.014904,           0.0097967,           0.0097967,           0.0098509
                   3,             0.05156,           0.0088289,            0.017189,             0.82345,             0.78396,             0.82963,              0.4216,            0.037919,           0.0030031,            0.011086,            0.009703,            0.009703,            0.009703
                   4,            0.047281,           0.0079379,            0.014624,             0.88672,              0.8674,             0.91751,             0.48661,            0.035678,           0.0025297,           0.0090041,            0.009703,            0.009703,            0.009703
                   5,            0.044802,           0.0076228,            0.013517,             0.87262,             0.86634,             0.92349,             0.47978,            0.033965,           0.0023556,           0.0092405,            0.009604,            0.009604,            0.009604
                   6,            0.043271,           0.0072287,            0.012592,             0.91087,             0.90122,             0.93669,             0.50078,            0.033079,           0.0022315,           0.0083562,            0.009505,            0.009505,            0.009505
                   7,            0.042308,           0.0070507,            0.011831,             0.90203,             0.90211,             0.94452,              0.4974,            0.035145,           0.0021961,           0.0085376,            0.009406,            0.009406,            0.009406
                   8,            0.040924,           0.0069464,            0.011269,             0.89135,             0.93233,             0.95179,              0.5155,            0.032098,           0.0021192,           0.0065699,            0.009307,            0.009307,            0.009307
                   9,            0.040216,           0.0067768,            0.010937,             0.88621,             0.84621,             0.92191,             0.53745,              0.0308,           0.0021366,           0.0087964,            0.009208,            0.009208,            0.009208
                  10,            0.039223,           0.0067732,            0.010693,             0.92973,             0.91416,             0.95482,             0.54773,            0.030595,           0.0020363,           0.0079773,            0.009109,            0.009109,            0.009109
                  11,            0.039625,            0.006619,            0.010581,             0.91476,             0.90958,             0.94838,             0.54175,            0.030091,           0.0020466,           0.0070658,             0.00901,             0.00901,             0.00901
                  12,             0.03844,           0.0065493,             0.01072,             0.91814,             0.91895,             0.94937,              0.5696,            0.029877,           0.0019882,           0.0077521,            0.008911,            0.008911,            0.008911
                  13,            0.038092,           0.0064578,            0.010301,             0.90483,             0.87812,             0.93338,             0.54943,            0.030771,           0.0020916,           0.0069927,            0.008812,            0.008812,            0.008812
                  14,            0.038054,           0.0063732,            0.010146,             0.91946,             0.91993,              0.9551,             0.57937,            0.028079,           0.0019518,           0.0063802,            0.008713,            0.008713,            0.008713
                  15,            0.037338,           0.0064208,           0.0098793,              0.9222,             0.90657,              0.9512,             0.58017,             0.02871,           0.0019886,           0.0078732,            0.008614,            0.008614,            0.008614
                  16,            0.036872,           0.0062931,           0.0098104,               0.938,              0.9066,             0.95776,             0.56917,            0.028701,            0.001936,           0.0076497,            0.008515,            0.008515,            0.008515
                  17,            0.036556,           0.0062666,           0.0095609,             0.91711,             0.93134,             0.96249,             0.56653,            0.029798,           0.0019266,           0.0054132,            0.008416,            0.008416,            0.008416
                  18,            0.036828,           0.0062482,           0.0094847,             0.92123,              0.9186,             0.95237,             0.56801,            0.029005,           0.0019421,           0.0062307,            0.008317,            0.008317,            0.008317
                  19,            0.036089,            0.006291,           0.0091234,             0.90329,             0.91552,              0.9473,             0.51787,            0.032883,           0.0019659,           0.0077184,            0.008218,            0.008218,            0.008218
                  20,            0.035841,           0.0062287,             0.00891,             0.91779,              0.9332,             0.95986,              0.5919,            0.028591,           0.0018693,           0.0049923,            0.008119,            0.008119,            0.008119
                  21,            0.035376,           0.0062136,           0.0087784,             0.94314,             0.92267,              0.9599,             0.57383,             0.02989,           0.0018846,           0.0069684,             0.00802,             0.00802,             0.00802
                  22,             0.03527,           0.0061401,           0.0088698,             0.94266,             0.92394,             0.96577,             0.59438,            0.027076,           0.0018574,           0.0052951,            0.007921,            0.007921,            0.007921
                  23,            0.035123,           0.0060988,           0.0086837,             0.95352,             0.91144,             0.96855,             0.59886,            0.027556,           0.0018666,           0.0051371,            0.007822,            0.007822,            0.007822
                  24,            0.034634,           0.0060903,           0.0084926,             0.93304,             0.90479,              0.9542,             0.56768,            0.028762,             0.00192,           0.0066754,            0.007723,            0.007723,            0.007723
                  25,            0.034782,           0.0060901,           0.0086942,             0.94717,             0.92026,             0.95939,             0.57785,            0.028383,           0.0018638,           0.0062205,            0.007624,            0.007624,            0.007624
                  26,            0.034344,           0.0060307,            0.008662,             0.94236,             0.91421,             0.96052,             0.56548,            0.031328,           0.0018784,           0.0071769,            0.007525,            0.007525,            0.007525
                  27,            0.033884,           0.0060946,           0.0082333,             0.93585,              0.9353,             0.96805,             0.61397,            0.027663,           0.0018433,           0.0061758,            0.007426,            0.007426,            0.007426
                  28,            0.034126,            0.005938,           0.0082767,             0.92688,              0.9148,             0.95457,             0.57952,            0.031166,           0.0019029,           0.0081116,            0.007327,            0.007327,            0.007327
                  29,            0.033867,           0.0060972,           0.0082132,             0.94261,             0.92143,             0.96384,             0.59323,            0.031473,           0.0017866,           0.0077881,            0.007228,            0.007228,            0.007228
                  30,             0.03385,           0.0059992,           0.0080562,              0.9357,             0.88155,             0.94536,             0.53862,            0.033192,           0.0019451,             0.00558,            0.007129,            0.007129,            0.007129
                  31,            0.033443,             0.00606,           0.0078113,             0.91377,             0.91549,             0.95097,             0.55691,            0.033389,           0.0018717,           0.0083041,             0.00703,             0.00703,             0.00703
                  32,            0.033332,           0.0060487,           0.0077093,             0.95081,             0.90636,             0.95846,             0.58578,            0.028507,           0.0018351,           0.0076586,            0.006931,            0.006931,            0.006931
                  33,            0.033599,           0.0058973,           0.0081537,             0.93922,             0.91431,             0.95603,             0.55822,            0.030616,           0.0018691,           0.0050857,            0.006832,            0.006832,            0.006832
                  34,             0.03323,             0.00594,           0.0076395,             0.92642,             0.95148,              0.9676,             0.60541,            0.027927,            0.001771,           0.0043619,            0.006733,            0.006733,            0.006733
                  35,            0.033116,           0.0058266,           0.0075311,             0.95244,             0.93119,             0.96661,             0.60164,            0.027889,           0.0018205,           0.0044101,            0.006634,            0.006634,            0.006634
                  36,            0.033004,           0.0058014,           0.0077338,             0.92462,             0.91802,             0.95577,              0.5837,            0.029446,            0.001866,           0.0068139,            0.006535,            0.006535,            0.006535
                  37,            0.032909,           0.0058558,           0.0074363,             0.95726,             0.92635,             0.96748,             0.58823,            0.027889,           0.0018134,            0.004112,            0.006436,            0.006436,            0.006436
                  38,            0.032077,           0.0059797,            0.007389,             0.94527,             0.93499,             0.96858,             0.58042,             0.02969,           0.0018316,           0.0057803,            0.006337,            0.006337,            0.006337
                  39,            0.031798,            0.005867,           0.0072247,             0.93625,             0.92194,             0.96611,             0.57085,             0.02894,            0.001851,           0.0073147,            0.006238,            0.006238,            0.006238
                  40,            0.032185,             0.00574,           0.0074817,              0.9471,             0.93344,              0.9672,             0.60106,            0.027181,           0.0018053,           0.0050917,            0.006139,            0.006139,            0.006139
                  41,             0.03193,            0.005888,            0.007323,             0.95129,             0.93513,             0.96984,             0.59449,             0.02795,           0.0017938,           0.0064095,             0.00604,             0.00604,             0.00604
                  42,            0.031869,           0.0057626,           0.0069432,             0.93509,             0.93285,             0.96356,             0.58145,            0.028482,            0.001798,             0.00473,            0.005941,            0.005941,            0.005941
                  43,            0.032199,           0.0057474,           0.0072199,               0.952,              0.9323,             0.97196,             0.59459,            0.026331,            0.001784,           0.0040987,            0.005842,            0.005842,            0.005842
                  44,            0.031856,           0.0057004,           0.0071332,             0.95679,             0.93363,             0.97094,             0.60949,            0.026411,           0.0017894,           0.0053481,            0.005743,            0.005743,            0.005743
                  45,            0.032019,           0.0057935,           0.0069954,             0.96491,             0.93203,             0.97356,             0.60008,            0.028258,           0.0017971,           0.0043642,            0.005644,            0.005644,            0.005644
                  46,            0.031184,           0.0056507,           0.0067857,             0.95725,             0.92781,             0.97294,             0.61671,             0.02756,           0.0017727,           0.0062745,            0.005545,            0.005545,            0.005545
                  47,            0.031276,           0.0058087,            0.006971,             0.93622,             0.93091,             0.97094,             0.58414,            0.028332,           0.0018234,            0.005466,            0.005446,            0.005446,            0.005446
                  48,            0.030872,           0.0057046,           0.0068606,             0.95533,             0.92588,             0.97531,             0.59906,            0.028524,           0.0017791,           0.0076782,            0.005347,            0.005347,            0.005347
                  49,            0.031151,           0.0057223,           0.0065656,             0.93914,             0.94001,             0.97358,             0.60377,            0.028629,           0.0017794,           0.0065353,            0.005248,            0.005248,            0.005248
                  50,            0.030878,           0.0055803,           0.0065598,             0.93631,             0.94419,             0.97309,             0.60704,             0.02831,           0.0017681,           0.0064545,            0.005149,            0.005149,            0.005149
                  51,            0.030862,           0.0056967,           0.0064866,             0.95346,             0.93982,             0.97735,             0.60942,            0.027209,           0.0017712,           0.0055687,             0.00505,             0.00505,             0.00505
                  52,            0.030634,           0.0056174,           0.0066568,             0.95072,              0.9284,             0.97664,             0.59713,            0.028932,           0.0017963,           0.0049348,            0.004951,            0.004951,            0.004951
                  53,            0.030733,           0.0056645,           0.0064509,              0.9499,             0.92692,             0.97648,             0.61825,            0.028265,           0.0017496,           0.0068836,            0.004852,            0.004852,            0.004852
                  54,            0.030754,           0.0057099,           0.0063631,              0.9393,             0.94687,             0.97707,              0.6097,            0.027914,           0.0017654,           0.0060098,            0.004753,            0.004753,            0.004753
                  55,            0.030804,           0.0055235,           0.0067001,             0.92863,             0.95989,             0.97774,             0.62434,            0.026749,           0.0017341,           0.0071247,            0.004654,            0.004654,            0.004654
                  56,             0.03036,           0.0055656,           0.0063277,             0.93596,             0.95076,             0.97659,             0.61974,            0.027046,           0.0017478,           0.0077894,            0.004555,            0.004555,            0.004555
                  57,            0.029939,           0.0056096,           0.0061717,             0.95005,             0.95145,              0.9813,             0.62557,             0.02648,           0.0017292,           0.0048022,            0.004456,            0.004456,            0.004456
                  58,            0.030371,           0.0054776,           0.0064566,              0.9612,             0.94332,             0.97897,              0.6235,            0.026158,           0.0017286,           0.0058182,            0.004357,            0.004357,            0.004357
                  59,            0.030017,           0.0055777,           0.0060968,             0.96385,             0.94029,             0.98025,             0.61666,            0.026094,           0.0017297,           0.0054422,            0.004258,            0.004258,            0.004258
                  60,            0.029687,           0.0055501,           0.0061359,              0.9541,             0.93838,              0.9781,             0.62082,            0.026204,           0.0017317,           0.0062237,            0.004159,            0.004159,            0.004159
                  61,            0.029464,           0.0055251,           0.0059899,             0.94661,             0.94727,             0.97777,              0.6225,            0.025783,           0.0017278,           0.0049982,             0.00406,             0.00406,             0.00406
                  62,            0.029517,            0.005509,           0.0060401,             0.93725,             0.95911,             0.97774,             0.62684,            0.026236,           0.0017242,           0.0044833,            0.003961,            0.003961,            0.003961
                  63,             0.02937,           0.0056603,           0.0060115,             0.94855,             0.94624,             0.97909,             0.63696,            0.026193,           0.0017131,           0.0042559,            0.003862,            0.003862,            0.003862
                  64,            0.029205,           0.0054758,           0.0060415,             0.94907,             0.94569,             0.97854,             0.64134,            0.025907,           0.0017056,           0.0046751,            0.003763,            0.003763,            0.003763
                  65,            0.028931,           0.0054486,           0.0056109,             0.94926,             0.95268,             0.97978,             0.63904,            0.026685,           0.0017046,           0.0056611,            0.003664,            0.003664,            0.003664
                  66,            0.028974,           0.0054756,           0.0058346,             0.94537,             0.95094,             0.98047,             0.63656,            0.026234,           0.0017057,            0.006543,            0.003565,            0.003565,            0.003565
