               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1176,            0.023476,            0.037094,             0.50185,              0.0825,           0.0016191,          0.00035155,            0.068013,            0.014978,            0.025335,           0.0033279,           0.0033279,            0.070049
                   1,            0.099989,            0.025935,            0.034329,             0.59319,             0.16926,             0.11618,            0.030583,            0.059459,            0.013853,             0.02235,           0.0065953,           0.0065953,            0.039983
                   2,            0.082537,            0.025146,            0.029752,             0.32878,             0.24231,             0.21851,            0.067454,            0.056785,            0.011209,            0.020618,           0.0097967,           0.0097967,           0.0098509
                   3,            0.068923,            0.023472,            0.025622,             0.40421,             0.26739,             0.25777,            0.080014,            0.059259,             0.01053,            0.021776,            0.009703,            0.009703,            0.009703
                   4,            0.061231,            0.021895,            0.022458,             0.68198,             0.70395,             0.72549,             0.28846,            0.040841,           0.0088825,            0.015436,            0.009703,            0.009703,            0.009703
                   5,            0.057088,             0.02057,            0.019668,             0.77427,             0.82659,             0.86453,             0.32831,            0.043373,           0.0081669,            0.014074,            0.009604,            0.009604,            0.009604
                   6,            0.054756,            0.020108,            0.018472,             0.81297,             0.88544,             0.90353,              0.4102,            0.041823,           0.0073431,            0.012447,            0.009505,            0.009505,            0.009505
                   7,            0.053199,            0.019938,            0.017544,             0.84593,             0.89495,             0.92117,             0.39399,            0.039181,           0.0071121,            0.011311,            0.009406,            0.009406,            0.009406
                   8,            0.051156,            0.018992,            0.016809,             0.87803,             0.83423,             0.91616,             0.44538,            0.037147,           0.0072557,            0.011571,            0.009307,            0.009307,            0.009307
                   9,            0.050136,            0.019006,            0.016412,             0.83822,             0.84896,             0.90111,              0.4273,            0.034789,           0.0073163,             0.01257,            0.009208,            0.009208,            0.009208
                  10,            0.048884,            0.018837,            0.015823,             0.83879,             0.83238,             0.91114,             0.44801,            0.035253,           0.0071179,            0.012827,            0.009109,            0.009109,            0.009109
                  11,            0.047529,            0.018694,            0.015285,             0.80407,             0.75211,             0.81825,             0.32947,            0.043958,           0.0075824,            0.011419,             0.00901,             0.00901,             0.00901
                  12,            0.046595,            0.018273,            0.015443,              0.8141,               0.857,             0.89587,             0.43309,            0.040326,            0.007201,           0.0098999,            0.008911,            0.008911,            0.008911
                  13,            0.046739,             0.01806,             0.01472,              0.8441,             0.90987,             0.93815,             0.46831,            0.033633,           0.0068029,           0.0096634,            0.008812,            0.008812,            0.008812
                  14,             0.04582,            0.017897,            0.014431,             0.77954,             0.86678,             0.87665,              0.3894,            0.038368,            0.007423,           0.0081058,            0.008713,            0.008713,            0.008713
                  15,            0.045386,            0.018096,            0.014123,             0.84905,             0.90041,             0.93479,             0.44777,            0.033689,           0.0067853,           0.0084385,            0.008614,            0.008614,            0.008614
                  16,            0.044676,            0.017842,            0.014061,             0.88805,             0.89438,             0.94546,             0.48851,            0.033019,           0.0067715,           0.0076774,            0.008515,            0.008515,            0.008515
                  17,            0.044019,            0.017545,            0.013963,             0.83544,             0.91565,             0.93907,              0.4302,            0.036201,           0.0066401,            0.010626,            0.008416,            0.008416,            0.008416
                  18,            0.044212,            0.017383,            0.014106,             0.86264,             0.90983,             0.94254,              0.4788,            0.033482,           0.0068103,           0.0065209,            0.008317,            0.008317,            0.008317
                  19,            0.044017,            0.017525,            0.013229,             0.87308,             0.89644,             0.93469,             0.47138,            0.035487,           0.0066523,           0.0063524,            0.008218,            0.008218,            0.008218
                  20,            0.043541,            0.017531,            0.013159,              0.8242,             0.94179,             0.94205,             0.46238,            0.034305,           0.0065937,           0.0097032,            0.008119,            0.008119,            0.008119
                  21,            0.042909,            0.017176,            0.013166,             0.89423,             0.90572,             0.94877,             0.48192,             0.03344,           0.0065547,           0.0061565,             0.00802,             0.00802,             0.00802
                  22,             0.04304,            0.017284,            0.013036,             0.91381,             0.91654,             0.95285,             0.47597,            0.035458,           0.0064405,           0.0069895,            0.007921,            0.007921,            0.007921
                  23,            0.042587,            0.017261,            0.012623,             0.89102,              0.9001,             0.94436,             0.44842,            0.033977,           0.0063449,           0.0088882,            0.007822,            0.007822,            0.007822
                  24,            0.042515,            0.017097,            0.012941,             0.88568,             0.90304,             0.95087,             0.51285,            0.033942,           0.0065667,           0.0076152,            0.007723,            0.007723,            0.007723
                  25,            0.041901,              0.0169,            0.012592,               0.859,             0.92255,             0.95264,              0.5166,            0.032939,           0.0063419,           0.0068935,            0.007624,            0.007624,            0.007624
                  26,            0.041636,            0.016935,            0.012583,              0.8909,             0.89442,             0.95178,              0.5271,            0.032481,           0.0063293,           0.0076317,            0.007525,            0.007525,            0.007525
                  27,            0.042111,            0.017228,            0.012598,             0.88268,             0.93984,             0.95703,             0.50362,             0.03244,           0.0064503,           0.0055736,            0.007426,            0.007426,            0.007426
                  28,            0.041421,            0.016703,            0.012254,             0.88691,             0.92145,             0.95322,             0.51842,            0.034797,           0.0062977,           0.0076343,            0.007327,            0.007327,            0.007327
                  29,            0.041619,            0.016641,            0.012046,              0.9165,             0.87348,             0.95471,             0.49501,            0.034132,            0.006456,           0.0065757,            0.007228,            0.007228,            0.007228
